name,role,component,layer,dtype,shape,params
model.layers.20.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,20.0,BF16,"(3584,)",3584
model.layers.20.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,20.0,BF16,"(3584, 1, 4)",14336
model.layers.20.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,20.0,BF16,"(24,)",24
model.layers.20.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,20.0,BF16,"(6680, 3072)",20520960
model.layers.20.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,20.0,BF16,"(3072,)",3072
model.layers.20.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,20.0,BF16,"(3072, 3072)",9437184
model.layers.20.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,20.0,BF16,"(3072,)",3072
model.layers.20.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,20.0,BF16,"(256, 3072)",786432
model.layers.20.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,20.0,BF16,"(3072, 1536)",4718592
model.layers.20.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,20.0,BF16,"(1536, 3072)",4718592
model.layers.20.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,20.0,BF16,"(256, 3072)",786432
model.layers.21.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,21.0,BF16,"(3072, 12288)",37748736
model.layers.21.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,21.0,BF16,"(12288, 3072)",37748736
model.layers.21.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,21.0,BF16,"(12288, 3072)",37748736
model.layers.21.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,21.0,BF16,"(3072,)",3072
model.layers.21.mamba.A_log,model.layers.N.mamba.A_log,language model,21.0,BF16,"(24,)",24
model.layers.21.mamba.D,model.layers.N.mamba.D,language model,21.0,BF16,"(24,)",24
model.layers.21.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,21.0,BF16,"(3584,)",3584
model.layers.21.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,21.0,BF16,"(3584, 1, 4)",14336
model.layers.21.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,21.0,BF16,"(24,)",24
model.layers.21.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,21.0,BF16,"(6680, 3072)",20520960
model.layers.21.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,21.0,BF16,"(3072,)",3072
model.layers.21.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,21.0,BF16,"(3072, 3072)",9437184
model.layers.21.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,21.0,BF16,"(3072,)",3072
model.layers.21.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,21.0,BF16,"(256, 3072)",786432
model.layers.21.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,21.0,BF16,"(3072, 1536)",4718592
model.layers.21.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,21.0,BF16,"(1536, 3072)",4718592
model.layers.21.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,21.0,BF16,"(256, 3072)",786432
model.layers.22.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,22.0,BF16,"(3072, 12288)",37748736
model.layers.22.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,22.0,BF16,"(12288, 3072)",37748736
model.layers.22.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,22.0,BF16,"(12288, 3072)",37748736
model.layers.22.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,22.0,BF16,"(3072,)",3072
model.layers.22.mamba.A_log,model.layers.N.mamba.A_log,language model,22.0,BF16,"(24,)",24
model.layers.22.mamba.D,model.layers.N.mamba.D,language model,22.0,BF16,"(24,)",24
model.layers.22.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,22.0,BF16,"(3584,)",3584
model.layers.22.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,22.0,BF16,"(3584, 1, 4)",14336
model.layers.22.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,22.0,BF16,"(24,)",24
model.layers.22.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,22.0,BF16,"(6680, 3072)",20520960
model.layers.22.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,22.0,BF16,"(3072,)",3072
model.layers.22.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,22.0,BF16,"(3072, 3072)",9437184
model.layers.22.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,22.0,BF16,"(3072,)",3072
model.layers.22.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,22.0,BF16,"(256, 3072)",786432
model.layers.22.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,22.0,BF16,"(3072, 1536)",4718592
model.layers.22.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,22.0,BF16,"(1536, 3072)",4718592
model.layers.22.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,22.0,BF16,"(256, 3072)",786432
model.layers.23.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,23.0,BF16,"(3072, 12288)",37748736
model.layers.23.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,23.0,BF16,"(12288, 3072)",37748736
model.layers.23.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,23.0,BF16,"(12288, 3072)",37748736
model.layers.23.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,23.0,BF16,"(3072,)",3072
model.layers.23.mamba.A_log,model.layers.N.mamba.A_log,language model,23.0,BF16,"(24,)",24
model.layers.23.mamba.D,model.layers.N.mamba.D,language model,23.0,BF16,"(24,)",24
model.layers.23.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,23.0,BF16,"(3584,)",3584
model.layers.23.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,23.0,BF16,"(3584, 1, 4)",14336
model.layers.23.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,23.0,BF16,"(24,)",24
model.layers.23.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,23.0,BF16,"(6680, 3072)",20520960
model.layers.23.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,23.0,BF16,"(3072,)",3072
model.layers.23.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,23.0,BF16,"(3072, 3072)",9437184
model.layers.23.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,23.0,BF16,"(3072,)",3072
model.layers.23.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,23.0,BF16,"(256, 3072)",786432
model.layers.23.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,23.0,BF16,"(3072, 1536)",4718592
model.layers.23.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,23.0,BF16,"(1536, 3072)",4718592
model.layers.23.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,23.0,BF16,"(256, 3072)",786432
model.layers.24.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,24.0,BF16,"(3072, 12288)",37748736
model.layers.24.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,24.0,BF16,"(12288, 3072)",37748736
model.layers.24.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,24.0,BF16,"(12288, 3072)",37748736
model.layers.24.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,24.0,BF16,"(3072,)",3072
model.layers.24.mamba.A_log,model.layers.N.mamba.A_log,language model,24.0,BF16,"(24,)",24
model.layers.24.mamba.D,model.layers.N.mamba.D,language model,24.0,BF16,"(24,)",24
model.layers.24.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,24.0,BF16,"(3584,)",3584
model.layers.24.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,24.0,BF16,"(3584, 1, 4)",14336
model.layers.24.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,24.0,BF16,"(24,)",24
model.layers.24.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,24.0,BF16,"(6680, 3072)",20520960
model.layers.24.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,24.0,BF16,"(3072,)",3072
model.layers.24.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,24.0,BF16,"(3072, 3072)",9437184
model.layers.24.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,24.0,BF16,"(3072,)",3072
model.layers.24.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,24.0,BF16,"(256, 3072)",786432
model.layers.24.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,24.0,BF16,"(3072, 1536)",4718592
model.layers.24.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,24.0,BF16,"(1536, 3072)",4718592
model.layers.24.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,24.0,BF16,"(256, 3072)",786432
model.layers.25.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,25.0,BF16,"(3072, 12288)",37748736
model.layers.25.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,25.0,BF16,"(12288, 3072)",37748736
model.layers.25.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,25.0,BF16,"(12288, 3072)",37748736
model.layers.25.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,25.0,BF16,"(3072,)",3072
model.layers.25.mamba.A_log,model.layers.N.mamba.A_log,language model,25.0,BF16,"(24,)",24
model.layers.25.mamba.D,model.layers.N.mamba.D,language model,25.0,BF16,"(24,)",24
model.layers.25.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,25.0,BF16,"(3584,)",3584
model.layers.25.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,25.0,BF16,"(3584, 1, 4)",14336
model.layers.25.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,25.0,BF16,"(24,)",24
model.layers.25.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,25.0,BF16,"(6680, 3072)",20520960
model.layers.25.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,25.0,BF16,"(3072,)",3072
model.layers.25.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,25.0,BF16,"(3072, 3072)",9437184
model.layers.25.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,25.0,BF16,"(3072,)",3072
model.layers.25.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,25.0,BF16,"(256, 3072)",786432
model.layers.25.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,25.0,BF16,"(3072, 1536)",4718592
model.layers.25.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,25.0,BF16,"(1536, 3072)",4718592
model.layers.25.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,25.0,BF16,"(256, 3072)",786432
model.layers.26.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,26.0,BF16,"(3072, 12288)",37748736
model.layers.26.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,26.0,BF16,"(12288, 3072)",37748736
model.layers.26.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,26.0,BF16,"(12288, 3072)",37748736
model.layers.26.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,26.0,BF16,"(3072,)",3072
model.layers.26.mamba.A_log,model.layers.N.mamba.A_log,language model,26.0,BF16,"(24,)",24
model.layers.26.mamba.D,model.layers.N.mamba.D,language model,26.0,BF16,"(24,)",24
model.layers.26.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,26.0,BF16,"(3584,)",3584
model.layers.26.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,26.0,BF16,"(3584, 1, 4)",14336
model.layers.26.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,26.0,BF16,"(24,)",24
model.layers.26.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,26.0,BF16,"(6680, 3072)",20520960
model.layers.26.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,26.0,BF16,"(3072,)",3072
model.layers.26.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,26.0,BF16,"(3072, 3072)",9437184
model.layers.26.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,26.0,BF16,"(3072,)",3072
model.layers.26.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,26.0,BF16,"(256, 3072)",786432
model.layers.26.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,26.0,BF16,"(3072, 1536)",4718592
model.layers.26.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,26.0,BF16,"(1536, 3072)",4718592
model.layers.26.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,26.0,BF16,"(256, 3072)",786432
model.layers.27.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,27.0,BF16,"(3072, 12288)",37748736
model.layers.27.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,27.0,BF16,"(12288, 3072)",37748736
model.layers.27.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,27.0,BF16,"(12288, 3072)",37748736
model.layers.27.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,27.0,BF16,"(3072,)",3072
model.layers.27.mamba.A_log,model.layers.N.mamba.A_log,language model,27.0,BF16,"(24,)",24
model.layers.27.mamba.D,model.layers.N.mamba.D,language model,27.0,BF16,"(24,)",24
model.layers.27.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,27.0,BF16,"(3584,)",3584
model.layers.27.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,27.0,BF16,"(3584, 1, 4)",14336
model.layers.27.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,27.0,BF16,"(24,)",24
model.layers.27.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,27.0,BF16,"(6680, 3072)",20520960
model.layers.27.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,27.0,BF16,"(3072,)",3072
model.layers.27.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,27.0,BF16,"(3072, 3072)",9437184
model.layers.27.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,27.0,BF16,"(3072,)",3072
model.layers.27.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,27.0,BF16,"(256, 3072)",786432
model.layers.27.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,27.0,BF16,"(3072, 1536)",4718592
model.layers.27.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,27.0,BF16,"(1536, 3072)",4718592
model.layers.27.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,27.0,BF16,"(256, 3072)",786432
model.layers.28.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,28.0,BF16,"(3072, 12288)",37748736
model.layers.28.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,28.0,BF16,"(12288, 3072)",37748736
model.layers.28.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,28.0,BF16,"(12288, 3072)",37748736
model.layers.28.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,28.0,BF16,"(3072,)",3072
model.layers.28.mamba.A_log,model.layers.N.mamba.A_log,language model,28.0,BF16,"(24,)",24
model.layers.28.mamba.D,model.layers.N.mamba.D,language model,28.0,BF16,"(24,)",24
model.layers.28.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,28.0,BF16,"(3584,)",3584
model.layers.28.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,28.0,BF16,"(3584, 1, 4)",14336
model.layers.28.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,28.0,BF16,"(24,)",24
model.layers.28.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,28.0,BF16,"(6680, 3072)",20520960
model.layers.28.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,28.0,BF16,"(3072,)",3072
model.layers.28.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,28.0,BF16,"(3072, 3072)",9437184
model.layers.28.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,28.0,BF16,"(3072,)",3072
model.layers.28.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,28.0,BF16,"(256, 3072)",786432
model.layers.28.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,28.0,BF16,"(3072, 1536)",4718592
model.layers.28.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,28.0,BF16,"(1536, 3072)",4718592
model.layers.28.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,28.0,BF16,"(256, 3072)",786432
model.layers.29.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,29.0,BF16,"(3072, 12288)",37748736
model.layers.29.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,29.0,BF16,"(12288, 3072)",37748736
model.layers.29.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,29.0,BF16,"(12288, 3072)",37748736
model.layers.29.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,29.0,BF16,"(3072,)",3072
model.layers.29.mamba.A_log,model.layers.N.mamba.A_log,language model,29.0,BF16,"(24,)",24
model.layers.29.mamba.D,model.layers.N.mamba.D,language model,29.0,BF16,"(24,)",24
model.layers.29.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,29.0,BF16,"(3584,)",3584
model.layers.29.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,29.0,BF16,"(3584, 1, 4)",14336
model.layers.29.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,29.0,BF16,"(24,)",24
model.layers.29.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,29.0,BF16,"(6680, 3072)",20520960
model.layers.29.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,29.0,BF16,"(3072,)",3072
model.layers.29.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,29.0,BF16,"(3072, 3072)",9437184
model.layers.29.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,29.0,BF16,"(3072,)",3072
model.layers.29.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,29.0,BF16,"(256, 3072)",786432
model.layers.29.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,29.0,BF16,"(3072, 1536)",4718592
model.layers.29.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,29.0,BF16,"(1536, 3072)",4718592
model.layers.29.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,29.0,BF16,"(256, 3072)",786432
model.layers.3.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,3.0,BF16,"(3072, 12288)",37748736
model.layers.3.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,3.0,BF16,"(12288, 3072)",37748736
model.layers.3.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,3.0,BF16,"(12288, 3072)",37748736
model.layers.3.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,3.0,BF16,"(3072,)",3072
model.layers.3.mamba.A_log,model.layers.N.mamba.A_log,language model,3.0,BF16,"(24,)",24
model.layers.3.mamba.D,model.layers.N.mamba.D,language model,3.0,BF16,"(24,)",24
model.layers.3.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,3.0,BF16,"(3584,)",3584
model.layers.3.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,3.0,BF16,"(3584, 1, 4)",14336
model.layers.3.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,3.0,BF16,"(24,)",24
model.layers.3.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,3.0,BF16,"(6680, 3072)",20520960
model.layers.3.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,3.0,BF16,"(3072,)",3072
model.layers.3.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,3.0,BF16,"(3072, 3072)",9437184
model.layers.3.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,3.0,BF16,"(3072,)",3072
model.layers.3.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,3.0,BF16,"(256, 3072)",786432
model.layers.3.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,3.0,BF16,"(3072, 1536)",4718592
model.layers.3.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,3.0,BF16,"(1536, 3072)",4718592
model.layers.3.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,3.0,BF16,"(256, 3072)",786432
model.layers.30.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,30.0,BF16,"(3072, 12288)",37748736
model.layers.30.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,30.0,BF16,"(12288, 3072)",37748736
model.layers.30.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,30.0,BF16,"(12288, 3072)",37748736
model.layers.30.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,30.0,BF16,"(3072,)",3072
model.layers.30.mamba.A_log,model.layers.N.mamba.A_log,language model,30.0,BF16,"(24,)",24
model.layers.30.mamba.D,model.layers.N.mamba.D,language model,30.0,BF16,"(24,)",24
model.layers.30.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,30.0,BF16,"(3584,)",3584
model.layers.30.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,30.0,BF16,"(3584, 1, 4)",14336
model.layers.30.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,30.0,BF16,"(24,)",24
model.layers.30.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,30.0,BF16,"(6680, 3072)",20520960
model.layers.30.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,30.0,BF16,"(3072,)",3072
model.layers.30.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,30.0,BF16,"(3072, 3072)",9437184
model.layers.30.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,30.0,BF16,"(3072,)",3072
model.layers.30.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,30.0,BF16,"(256, 3072)",786432
model.layers.30.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,30.0,BF16,"(3072, 1536)",4718592
model.layers.30.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,30.0,BF16,"(1536, 3072)",4718592
model.layers.30.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,30.0,BF16,"(256, 3072)",786432
model.layers.31.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,31.0,BF16,"(3072, 12288)",37748736
model.layers.31.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,31.0,BF16,"(12288, 3072)",37748736
model.layers.31.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,31.0,BF16,"(12288, 3072)",37748736
model.layers.31.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,31.0,BF16,"(3072,)",3072
model.layers.31.mamba.A_log,model.layers.N.mamba.A_log,language model,31.0,BF16,"(24,)",24
model.layers.31.mamba.D,model.layers.N.mamba.D,language model,31.0,BF16,"(24,)",24
model.layers.31.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,31.0,BF16,"(3584,)",3584
model.layers.31.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,31.0,BF16,"(3584, 1, 4)",14336
model.layers.31.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,31.0,BF16,"(24,)",24
model.layers.31.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,31.0,BF16,"(6680, 3072)",20520960
model.layers.31.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,31.0,BF16,"(3072,)",3072
model.layers.31.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,31.0,BF16,"(3072, 3072)",9437184
model.layers.31.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,31.0,BF16,"(3072,)",3072
model.layers.31.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,31.0,BF16,"(256, 3072)",786432
model.layers.31.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,31.0,BF16,"(3072, 1536)",4718592
model.layers.31.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,31.0,BF16,"(1536, 3072)",4718592
model.layers.31.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,31.0,BF16,"(256, 3072)",786432
model.layers.32.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,32.0,BF16,"(3072, 12288)",37748736
model.layers.32.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,32.0,BF16,"(12288, 3072)",37748736
model.layers.32.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,32.0,BF16,"(12288, 3072)",37748736
model.layers.32.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,32.0,BF16,"(3072,)",3072
model.layers.32.mamba.A_log,model.layers.N.mamba.A_log,language model,32.0,BF16,"(24,)",24
model.layers.32.mamba.D,model.layers.N.mamba.D,language model,32.0,BF16,"(24,)",24
model.layers.32.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,32.0,BF16,"(3584,)",3584
model.layers.32.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,32.0,BF16,"(3584, 1, 4)",14336
model.layers.32.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,32.0,BF16,"(24,)",24
model.layers.32.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,32.0,BF16,"(6680, 3072)",20520960
model.layers.32.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,32.0,BF16,"(3072,)",3072
model.layers.32.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,32.0,BF16,"(3072, 3072)",9437184
model.layers.32.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,32.0,BF16,"(3072,)",3072
model.layers.32.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,32.0,BF16,"(256, 3072)",786432
model.layers.32.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,32.0,BF16,"(3072, 1536)",4718592
model.layers.32.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,32.0,BF16,"(1536, 3072)",4718592
